ISBN,Book ID,Author,Title,Price,Availability
71-960-0218,15-042-0865,Whitney Pennaman,The Chronicles of Narnia,16.08,unavailable
39-746-5336,91-499-3754,Yelena Thirlwell,The Hobbit,3.86,unavailable
48-761-2744,68-924-5628,Mufi Privost,The Lord of the Rings,11.73,unavailable
63-156-9010,34-479-2910,Monah Tunuy,Pride and Prejudice,2.63,unavailable
65-701-8749,08-051-6311,Evan Quarrell,The Great Gatsby,5.16,available
20-903-9704,91-801-6585,Lynea Doughtery,Moby Dick,12.76,unavailable
19-746-2096,26-354-7367,Tyrone Tibald,1984,12.06,unavailable
12-905-6807,27-565-9398,Jonah Bicksteth,The Hobbit,14.05,unavailable
92-352-0112,55-907-7330,Tyson Whitebread,Harry Potter and the Sorcerer's Stone,16.34,available
22-106-9106,20-472-2371,Beitris Briars,1984,6.15,unavailable
50-449-3730,11-532-6031,Beauregard Laverock,To Kill a Mockingbird,18.99,available
46-912-9105,21-579-9956,Zaneta Cabane,The Chronicles of Narnia,8.09,available
87-918-1937,04-794-0710,Nissy Garrat,1984,4.84,unavailable
62-141-6373,29-313-6290,Frannie Ledley,The Chronicles of Narnia,2.5,unavailable
01-224-6206,59-711-5311,Kerwinn Dellow,1984,7.54,unavailable
82-142-4856,11-596-5700,Clement Grieg,To Kill a Mockingbird,2.97,available
74-974-1373,99-370-0942,Ruben Poinsett,The Chronicles of Narnia,3.18,unavailable
91-366-7061,93-380-2232,Dareen Ratlee,The Chronicles of Narnia,4.5,available
47-804-9886,10-044-8760,Rowe Litster,The Catcher in the Rye,5.88,unavailable
20-732-4745,47-247-2201,Callie Ballendine,To Kill a Mockingbird,5.12,available
77-564-4687,09-389-9693,Maribeth Dellatorre,The Hobbit,7.76,available
57-043-1883,80-959-7807,Giacopo Dreigher,To Kill a Mockingbird,15.64,unavailable
82-617-0351,41-269-5747,Diane-marie Yushin,1984,8.19,available
25-833-9152,01-354-5357,Timmie Sambrook,Harry Potter and the Sorcerer's Stone,17.38,available
10-052-3652,75-019-9736,Vaughn Paramor,The Lord of the Rings,17.26,unavailable
50-262-2947,71-549-7766,Manny Megainey,Pride and Prejudice,17.44,unavailable
53-302-2977,95-578-8981,Livy Michelet,The Hobbit,16.89,unavailable
06-992-8087,26-831-8961,Madelina Ransom,To Kill a Mockingbird,16.5,available
75-771-7839,08-138-2646,Agneta L'Archer,The Catcher in the Rye,4.59,available
57-171-5508,15-649-5978,Eddy Giacomuzzo,Moby Dick,4.42,unavailable
