Borrowed ID,Issue/Loan Date,Due Date,Return Date,ISBN,memb_ID
06-974-1765,23.05.2023,,,22-106-9106,49-065-4825
08-045-3992,15.09.2023,,,53-302-2977,93-877-9847
56-150-1483,21.12.2023,,,91-366-7061,10-958-7513
18-752-2612,12.10.2023,,,75-771-7839,24-480-9590
09-120-1839,03.08.2023,,,47-804-9886,31-116-4647
63-333-9551,03.07.2023,,,20-903-9704,40-516-7234
54-114-5274,26.06.2023,,,47-804-9886,56-890-0121
83-240-5041,03.08.2023,,,53-302-2977,60-198-8599
55-812-3004,01.03.2023,,,91-366-7061,33-812-3711
57-796-8041,08.05.2023,,,20-903-9704,62-456-0779
28-010-7445,13.08.2023,,,22-106-9106,10-387-8163
56-038-7153,08.04.2023,,,50-262-2947,57-194-1964
03-333-1142,17.03.2023,,,92-352-0112,93-877-9847
96-469-8265,21.02.2023,,,01-224-6206,57-091-9422
02-235-0712,16.02.2023,,,19-746-2096,34-225-5487
86-586-9244,02.12.2023,,,91-366-7061,16-747-3733
26-507-8765,04.04.2023,,,63-156-9010,69-055-8795
99-741-6896,28.06.2023,,,91-366-7061,05-283-1158
24-534-6440,22.11.2023,,,92-352-0112,67-424-7170
32-728-2571,15.03.2023,,,75-771-7839,41-446-2882
75-462-6971,31.10.2023,,,62-141-6373,78-706-0075
94-360-8044,16.11.2023,,,19-746-2096,09-496-7653
26-644-2938,06.02.2023,,,87-918-1937,60-198-8599
28-758-0854,06.02.2023,,,20-903-9704,73-557-2033
48-659-8743,16.05.2023,,,57-171-5508,38-989-9373
66-383-1069,30.04.2023,,,22-106-9106,49-766-0123
12-150-8018,10.01.2023,,,25-833-9152,03-932-2352
47-373-7494,08.05.2023,,,47-804-9886,60-198-8599
51-082-1162,01.11.2023,,,77-564-4687,76-303-1214
92-514-7021,01.06.2023,,,62-141-6373,67-424-7170
48-120-4104,29.09.2023,,,46-912-9105,31-116-4647
85-707-9479,28.04.2023,,,82-617-0351,26-523-5299
71-563-4224,30.12.2023,,,82-617-0351,69-055-8795
03-061-8650,18.01.2023,,,57-171-5508,40-516-7234
44-895-3109,18.10.2023,,,01-224-6206,73-557-2033
91-970-4885,02.11.2023,,,82-142-4856,93-877-9847
94-603-4775,25.04.2023,,,10-052-3652,10-178-3192
80-836-4125,25.10.2023,,,77-564-4687,31-307-2582
